actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2023-03-28T02:11:32.4Z,1,REGULAR,period,start,[],0,,,0,0,0,2023-03-28T02:11:32Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2023-03-28T02:11:35.0Z,1,REGULAR,jumpball,recovered,[],1629642,,,1610612757,0,0,2023-03-28T02:11:35Z,40000,False,,,0,,Jump Ball D. Eubanks vs. J. Valanciunas: Tip to N. Little,"[1629642, 1629234, 202685]",1610612757.0,POR,startperiod,N. Little,1629642.0,Little,N. Little,Eubanks,1629234.0,Valanciunas,202685.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M45.00S,2023-03-28T02:11:45.8Z,1,REGULAR,2pt,Jump Shot,[],1629642,11.514454664914586,71.81372549019608,1610612757,2,0,2023-03-28T02:12:19Z,70000,False,-109.0,56.0,1,left,N. Little 12' pullup Jump Shot (2 PTS),[1629642],1610612757.0,POR,pullup,,,Little,N. Little,,,,,Mid-Range,8-16 Left,12.25,Made,2.0,,,,,,,,,,,,,,,,,
8,PT11M21.00S,2023-03-28T02:12:10.2Z,1,REGULAR,2pt,Jump Shot,[],1627742,88.78120893561103,25.98039215686275,1610612740,2,2,2023-03-28T02:12:19Z,80000,False,-120.0,53.0,1,right,B. Ingram 13' step back Jump Shot (2 PTS) (C. McCollum 1 AST),"[1627742, 203468]",1610612740.0,NOP,step back,,,Ingram,B. Ingram,,,,,Mid-Range,8-16 Left,13.13,Made,2.0,C. McCollum,203468.0,1.0,,,,,,,,,,,,,,
10,PT11M00.00S,2023-03-28T02:12:30.6Z,1,REGULAR,3pt,Jump Shot,[],1629680,20.581471747700395,6.127450980392156,1610612757,2,2,2023-03-28T02:12:35Z,100000,False,219.0,141.0,1,left,MISS M. Thybulle 26' 3PT,[1629680],1610612757.0,POR,,,,Thybulle,M. Thybulle,,,,,Above the Break 3,24+ Right Center,26.08,Missed,,,,,,,,,,,,,,,,,,
11,PT10M59.00S,2023-03-28T02:12:31.6Z,1,REGULAR,rebound,defensive,[],1627742,,,1610612740,2,2,2023-03-28T02:12:35Z,110000,False,,,0,,B. Ingram REBOUND (Off:0 Def:1),[1627742],1610612740.0,NOP,,,,Ingram,B. Ingram,,,,,Above the Break 3,24+ Right Center,,,,,,,10.0,1.0,1.0,0.0,,,,,,,,,,
12,PT10M52.00S,2023-03-28T02:12:39.7Z,1,REGULAR,3pt,Jump Shot,[],203468,60.397503285151124,42.8921568627451,1610612740,2,2,2023-03-28T02:12:44Z,120000,False,-36.0,320.0,1,right,MISS C. McCollum 32' 3PT,[203468],1610612740.0,NOP,,,,McCollum,C. McCollum,,,,,Above the Break 3,24+ Center,32.18,Missed,,,,,,,,,,,,,,,,,,
13,PT10M49.00S,2023-03-28T02:12:42.7Z,1,REGULAR,rebound,defensive,[],1629234,,,1610612757,2,2,2023-03-28T02:12:44Z,130000,False,,,0,,D. Eubanks REBOUND (Off:0 Def:1),[1629234],1610612757.0,POR,,,,Eubanks,D. Eubanks,,,,,Above the Break 3,24+ Center,,,,,,,12.0,1.0,1.0,0.0,,,,,,,,,,
14,PT10M33.00S,2023-03-28T02:12:58.0Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629680,6.652431011826544,53.92156862745098,1610612757,2,2,2023-03-28T02:14:03Z,140000,False,-20.0,10.0,1,left,MISS M. Thybulle driving Layup,[1629680],1610612757.0,POR,driving,,,Thybulle,M. Thybulle,,,,,Restricted Area,0-8 Center,2.2,Missed,,,,,,,,,,,,,,,,,,
15,PT10M32.00S,2023-03-28T02:12:59.0Z,1,REGULAR,rebound,defensive,[],202685,,,1610612740,2,2,2023-03-28T02:13:01Z,150000,False,,,0,,J. Valanciunas REBOUND (Off:0 Def:1),[202685],1610612740.0,NOP,,,,Valanciunas,J. Valanciunas,,,,,Restricted Area,0-8 Center,,,,,,,14.0,1.0,1.0,0.0,,,,,,,,,,
16,PT10M19.00S,2023-03-28T02:13:13.0Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],202685,93.64323258869908,50.98039215686274,1610612740,2,4,2023-03-28T02:13:20Z,160000,False,5.0,7.0,1,right,J. Valanciunas cutting DUNK (2 PTS) (H. Jones 1 AST),"[202685, 1630529]",1610612740.0,NOP,cutting,,,Valanciunas,J. Valanciunas,,,,,Restricted Area,0-8 Center,0.88,Made,2.0,H. Jones,1630529.0,1.0,,,,,,,,,,,,,,
18,PT09M52.00S,2023-03-28T02:13:38.9Z,1,REGULAR,3pt,Jump Shot,[],1629642,27.54599211563732,19.11764705882353,1610612757,2,4,2023-03-28T02:13:43Z,180000,False,154.0,206.0,1,left,MISS N. Little 25' 3PT,[1629642],1610612757.0,POR,,,,Little,N. Little,,,,,Above the Break 3,24+ Right Center,25.78,Missed,,,,,,,,,,,,,,,,,,
19,PT09M49.00S,2023-03-28T02:13:41.9Z,1,REGULAR,rebound,defensive,[],202685,,,1610612740,2,4,2023-03-28T02:13:43Z,190000,False,,,0,,J. Valanciunas REBOUND (Off:0 Def:2),[202685],1610612740.0,NOP,,,,Valanciunas,J. Valanciunas,,,,,Above the Break 3,24+ Right Center,,,,,,,18.0,2.0,2.0,0.0,,,,,,,,,,
20,PT09M42.00S,2023-03-28T02:13:51.4Z,1,REGULAR,foul,personal,['2freethrow'],1631101,,,1610612740,2,4,2023-03-28T02:14:00Z,200000,False,,,0,,S. Sharpe shooting personal FOUL (1 PF) (Ingram 2 FT),"[1631101, 1627742]",1610612757.0,POR,shooting,,,Sharpe,S. Sharpe,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,2715.0,1.0,0.0,Ingram,1627742.0,,,,,
22,PT09M42.00S,2023-03-28T02:14:18.0Z,1,REGULAR,freethrow,1 of 2,[],1627742,,,1610612740,2,5,2023-03-28T02:14:18Z,220000,False,,,0,,B. Ingram Free Throw 1 of 2 (3 PTS),[1627742],1610612740.0,NOP,,,,Ingram,B. Ingram,,,,,,,,Made,3.0,,,,,,,,,,,,,,,,,
23,PT09M42.00S,2023-03-28T02:14:33.8Z,1,REGULAR,freethrow,2 of 2,[],1627742,,,1610612740,2,6,2023-03-28T02:14:33Z,230000,False,,,0,,B. Ingram Free Throw 2 of 2 (4 PTS),[1627742],1610612740.0,NOP,,,,Ingram,B. Ingram,,,,,,,,Made,4.0,,,,,,,,,,,,,,,,,
24,PT09M31.00S,2023-03-28T02:14:47.3Z,1,REGULAR,3pt,Jump Shot,[],1629642,28.86005256241787,18.872549019607842,1610612757,2,6,2023-03-28T02:14:51Z,240000,False,156.0,219.0,1,left,MISS N. Little 26' 3PT,[1629642],1610612757.0,POR,,,,Little,N. Little,,,,,Above the Break 3,24+ Right Center,26.85,Missed,,,,,,,,,,,,,,,,,,
25,PT09M28.00S,2023-03-28T02:14:50.3Z,1,REGULAR,rebound,defensive,[],202685,,,1610612740,2,6,2023-03-28T02:14:51Z,250000,False,,,0,,J. Valanciunas REBOUND (Off:0 Def:3),[202685],1610612740.0,NOP,,,,Valanciunas,J. Valanciunas,,,,,Above the Break 3,24+ Right Center,,,,,,,24.0,3.0,3.0,0.0,,,,,,,,,,
26,PT09M19.00S,2023-03-28T02:14:58.5Z,1,REGULAR,2pt,Jump Shot,[],202685,92.9862023653088,30.637254901960787,1610612740,2,6,2023-03-28T02:15:03Z,260000,False,-97.0,13.0,1,right,MISS J. Valanciunas 9' fadeaway Shot,[202685],1610612740.0,NOP,fadeaway,,,Valanciunas,J. Valanciunas,,,,,Mid-Range,8-16 Left,9.77,Missed,,,,,,,,,,,,,,,,,,
27,PT09M17.00S,2023-03-28T02:15:00.8Z,1,REGULAR,rebound,offensive,[],1630529,,,1610612740,2,6,2023-03-28T02:15:00Z,270000,False,,,0,,H. Jones REBOUND (Off:1 Def:0),[1630529],1610612740.0,NOP,,,,Jones,H. Jones,,,,,Mid-Range,8-16 Left,,,,,,,26.0,1.0,0.0,1.0,,,,,,,,,,
28,PT09M17.00S,2023-03-28T02:15:00.8Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1630529,94.40999984741211,50.0,1610612740,2,6,2023-03-28T02:15:00Z,280000,False,0.0,0.0,1,right,MISS H. Jones tip Layup,[1630529],1610612740.0,NOP,tip,,,Jones,H. Jones,,,,,Mid-Range,8-16 Left,0.0,Missed,,,,,,,,,,,,,,,,,,
29,PT09M17.00S,2023-03-28T02:15:01.2Z,1,REGULAR,rebound,defensive,[],1631101,,,1610612757,2,6,2023-03-28T02:15:01Z,290000,False,,,0,,S. Sharpe REBOUND (Off:0 Def:1),[1631101],1610612757.0,POR,,,,Sharpe,S. Sharpe,,,,,Mid-Range,8-16 Left,,,,,,,28.0,1.0,1.0,0.0,,,,,,,,,,
30,PT09M11.00S,2023-03-28T02:15:06.9Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fastbreak']",1631101,9.543363994743759,45.588235294117645,1610612757,2,6,2023-03-28T02:15:19Z,300000,False,22.0,37.0,1,left,MISS S. Sharpe running pullup Shot,[1631101],1610612757.0,POR,running pullup,,,Sharpe,S. Sharpe,,,,,Restricted Area,0-8 Center,4.33,Missed,,,,,,,,,,,,,,,,,,
31,PT09M10.00S,2023-03-28T02:15:08.2Z,1,REGULAR,rebound,defensive,[],1630530,,,1610612740,2,6,2023-03-28T02:15:08Z,310000,False,,,0,,T. Murphy III REBOUND (Off:0 Def:1),[1630530],1610612740.0,NOP,,,,Murphy III,T. Murphy III,,,,,Restricted Area,0-8 Center,,,,,,,30.0,1.0,1.0,0.0,,,,,,,,,,
32,PT09M03.00S,2023-03-28T02:15:15.7Z,1,REGULAR,2pt,Jump Shot,[],1627742,77.21747700394218,26.47058823529412,1610612740,2,6,2023-03-28T02:15:22Z,320000,False,-118.0,162.0,1,right,MISS B. Ingram 19' pullup Shot,[1627742],1610612740.0,NOP,pullup,,,Ingram,B. Ingram,,,,,Mid-Range,16-24 Left Center,19.99,Missed,,,,,,,,,,,,,,,,,,
33,PT09M01.00S,2023-03-28T02:15:17.7Z,1,REGULAR,rebound,defensive,[],1627853,,,1610612757,2,6,2023-03-28T02:15:22Z,330000,False,,,0,,R. Arcidiacono REBOUND (Off:0 Def:1),[1627853],1610612757.0,POR,,,,Arcidiacono,R. Arcidiacono,,,,,Mid-Range,16-24 Left Center,,,,,,,32.0,1.0,1.0,0.0,,,,,,,,,,
34,PT08M47.00S,2023-03-28T02:15:32.0Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1629234,11.514454664914586,48.529411764705884,1610612757,4,6,2023-03-28T02:15:37Z,340000,False,7.0,56.0,1,left,D. Eubanks driving Hook (2 PTS),[1629234],1610612757.0,POR,driving,,,Eubanks,D. Eubanks,,,,,In The Paint (Non-RA),0-8 Center,5.62,Made,2.0,,,,,,,,,,,,,,,,,
35,PT08M33.00S,2023-03-28T02:15:46.1Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],202685,91.40932982917214,49.754901960784316,1610612740,4,8,2023-03-28T02:15:50Z,350000,False,-1.0,28.0,1,right,J. Valanciunas driving Layup (4 PTS),[202685],1610612740.0,NOP,driving,,,Valanciunas,J. Valanciunas,,,,,Restricted Area,0-8 Center,2.83,Made,4.0,,,,,,,,,,,,,,,,,
36,PT08M18.00S,2023-03-28T02:16:00.3Z,1,REGULAR,3pt,Jump Shot,[],1627853,33.98488830486202,71.32352941176471,1610612757,7,8,2023-03-28T02:16:04Z,360000,False,-107.0,267.0,1,left,R. Arcidiacono 28' 3PT  (3 PTS) (N. Little 1 AST),"[1627853, 1629642]",1610612757.0,POR,,,,Arcidiacono,R. Arcidiacono,,,,,Above the Break 3,24+ Left Center,28.75,Made,3.0,N. Little,1629642.0,1.0,,,,,,,,,,,,,,
38,PT08M08.00S,2023-03-28T02:16:10.5Z,1,REGULAR,3pt,Jump Shot,[],1630530,69.85873850197109,16.42156862745098,1610612740,7,8,2023-03-28T02:16:15Z,380000,False,-168.0,231.0,1,right,MISS T. Murphy III 28' 3PT,[1630530],1610612740.0,NOP,,,,Murphy III,T. Murphy III,,,,,Above the Break 3,24+ Left Center,28.54,Missed,,,,,,,,,,,,,,,,,,
39,PT08M05.00S,2023-03-28T02:16:13.5Z,1,REGULAR,rebound,defensive,[],1627853,,,1610612757,7,8,2023-03-28T02:16:15Z,390000,False,,,0,,R. Arcidiacono REBOUND (Off:0 Def:2),[1627853],1610612757.0,POR,,,,Arcidiacono,R. Arcidiacono,,,,,Above the Break 3,24+ Left Center,,,,,,,38.0,2.0,2.0,0.0,,,,,,,,,,
40,PT07M57.00S,2023-03-28T02:16:21.9Z,1,REGULAR,turnover,bad pass,[],1627853,,,1610612757,7,8,2023-03-28T02:16:28Z,400000,False,,,0,,R. Arcidiacono bad pass TURNOVER (1 TO),"[1627853, 1627742]",1610612757.0,POR,,,,Arcidiacono,R. Arcidiacono,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,,,,1.0,Ingram,1627742.0,,
41,PT07M57.00S,2023-03-28T02:16:21.9Z,1,REGULAR,steal,,[],1627742,,,1610612740,7,8,2023-03-28T02:16:23Z,410000,False,,,0,,B. Ingram STEAL (1 STL),[1627742],1610612740.0,NOP,,,,Ingram,B. Ingram,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,,,,,,,,
42,PT07M55.00S,2023-03-28T02:16:26.0Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1630529,93.51182654402102,46.81372549019608,1610612740,7,10,2023-03-28T02:16:39Z,420000,False,-16.0,8.0,1,right,H. Jones running Layup (2 PTS) (B. Ingram 1 AST),"[1630529, 1627742]",1610612740.0,NOP,running,,,Jones,H. Jones,,,,,Restricted Area,0-8 Center,1.8,Made,2.0,B. Ingram,1627742.0,1.0,,,,,,,,,,,,,,
44,PT07M55.00S,2023-03-28T02:16:28.2Z,1,REGULAR,foul,personal,['1freethrow'],1629642,,,1610612740,7,10,2023-03-28T02:16:40Z,440000,False,,,0,,N. Little shooting personal FOUL (1 PF) (Jones 1 FT),"[1629642, 1630529]",1610612757.0,POR,shooting,,,Little,N. Little,,,,,Restricted Area,0-8 Center,,,,,,,,,,,1627962.0,1.0,0.0,Jones,1630529.0,,,,,
46,PT07M55.00S,2023-03-28T02:16:56.5Z,1,REGULAR,freethrow,1 of 1,"['fromturnover', 'fastbreak']",1630529,,,1610612740,7,11,2023-03-28T02:16:56Z,460000,False,,,0,,H. Jones Free Throw 1 of 1 (3 PTS),[1630529],1610612740.0,NOP,,,,Jones,H. Jones,,,,,,,,Made,3.0,,,,,,,,,,,,,,,,,
47,PT07M38.00S,2023-03-28T02:17:16.0Z,1,REGULAR,3pt,Jump Shot,[],1629642,27.94021024967148,17.647058823529413,1610612757,7,11,2023-03-28T02:17:20Z,470000,False,162.0,210.0,1,left,MISS N. Little 26' 3PT,[1629642],1610612757.0,POR,,,,Little,N. Little,,,,,Above the Break 3,24+ Right Center,26.52,Missed,,,,,,,,,,,,,,,,,,
48,PT07M35.00S,2023-03-28T02:17:19.0Z,1,REGULAR,rebound,defensive,[],202685,,,1610612740,7,11,2023-03-28T02:17:20Z,480000,False,,,0,,J. Valanciunas REBOUND (Off:0 Def:4),[202685],1610612740.0,NOP,,,,Valanciunas,J. Valanciunas,,,,,Above the Break 3,24+ Right Center,,,,,,,47.0,4.0,4.0,0.0,,,,,,,,,,
49,PT07M25.00S,2023-03-28T02:17:29.4Z,1,REGULAR,turnover,bad pass,[],202685,,,1610612740,7,11,2023-03-28T02:17:33Z,490000,False,,,0,,J. Valanciunas bad pass TURNOVER (1 TO),"[202685, 1629642]",1610612740.0,NOP,,,,Valanciunas,J. Valanciunas,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,1.0,Little,1629642.0,,
50,PT07M25.00S,2023-03-28T02:17:29.4Z,1,REGULAR,steal,,[],1629642,,,1610612757,7,11,2023-03-28T02:17:31Z,500000,False,,,0,,N. Little STEAL (1 STL),[1629642],1610612757.0,POR,,,,Little,N. Little,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
51,PT07M20.00S,2023-03-28T02:17:34.3Z,1,REGULAR,3pt,Jump Shot,"['fromturnover', 'fastbreak']",1631101,5.338370565045992,95.83333333333334,1610612757,7,11,2023-03-28T02:17:41Z,510000,False,-229.0,-2.0,1,left,MISS S. Sharpe running 3PT,[1631101],1610612757.0,POR,running,,,Sharpe,S. Sharpe,,,,,Left Corner 3,24+ Left,22.92,Missed,,,,,,,,,,,,,,,,,,
52,PT07M15.00S,2023-03-28T02:17:39.0Z,1,REGULAR,rebound,offensive,[],1629234,,,1610612757,7,11,2023-03-28T02:17:39Z,520000,False,,,0,,D. Eubanks REBOUND (Off:1 Def:1),[1629234],1610612757.0,POR,,,,Eubanks,D. Eubanks,,,,,Left Corner 3,24+ Left,,,,,,,51.0,2.0,1.0,1.0,,,,,,,,,,
53,PT07M08.00S,2023-03-28T02:17:45.8Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover', '2ndchance']",1629234,16.90210249671485,64.4607843137255,1610612757,9,11,2023-03-28T02:17:50Z,530000,False,-72.0,106.0,1,left,D. Eubanks 12' Jump Shot (4 PTS) (S. Sharpe 1 AST),"[1629234, 1631101]",1610612757.0,POR,,,,Eubanks,D. Eubanks,,,,,In The Paint (Non-RA),8-16 Left,12.86,Made,4.0,S. Sharpe,1631101.0,1.0,,,,,,,,,,,,,,
55,PT06M54.00S,2023-03-28T02:18:00.0Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1627742,94.95729303547962,46.568627450980394,1610612740,9,13,2023-03-28T02:18:08Z,550000,False,-17.0,-5.0,1,right,B. Ingram driving Layup (6 PTS),[1627742],1610612740.0,NOP,driving,,,Ingram,B. Ingram,,,,,Restricted Area,0-8 Center,1.79,Made,6.0,,,,,,,,,,,,,,,,,
56,PT06M34.00S,2023-03-28T02:18:21.8Z,1,REGULAR,foul,personal,['2freethrow'],1630530,,,1610612757,9,13,2023-03-28T02:18:29Z,560000,False,,,0,,T. Murphy III shooting personal FOUL (1 PF) (Thybulle 2 FT),"[1630530, 1629680]",1610612740.0,NOP,shooting,,,Murphy III,T. Murphy III,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,1627962.0,1.0,0.0,Thybulle,1629680.0,,,,,
58,PT06M34.00S,2023-03-28T02:18:32.9Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612757,9,13,2023-03-28T02:18:33Z,580000,False,,,0,,POR Timeout,[],1610612757.0,POR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,PT06M34.00S,2023-03-28T02:20:51.2Z,1,REGULAR,substitution,out,[],1627853,,,1610612757,9,13,2023-03-28T02:21:08Z,590000,False,,,0,,SUB out: R. Arcidiacono,[1627853],1610612757.0,POR,,,,Arcidiacono,R. Arcidiacono,,,,,,,,,,,,,,,,,,,,,,,,,,
60,PT06M34.00S,2023-03-28T02:20:51.2Z,1,REGULAR,substitution,in,[],1630553,,,1610612757,9,13,2023-03-28T02:21:08Z,600000,False,,,0,,SUB in: K. Johnson,[1630553],1610612757.0,POR,,,,Johnson,K. Johnson,,,,,,,,,,,,,,,,,,,,,,,,,,
61,PT06M34.00S,2023-03-28T02:21:36.7Z,1,REGULAR,freethrow,1 of 2,[],1629680,,,1610612757,9,13,2023-03-28T02:21:36Z,610000,False,,,0,,MISS M. Thybulle Free Throw 1 of 2,[1629680],1610612757.0,POR,,,,Thybulle,M. Thybulle,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
62,PT06M34.00S,2023-03-28T02:21:36.7Z,1,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612757,9,13,2023-03-28T02:21:36Z,620000,False,,,0,,TEAM offensive REBOUND,[],1610612757.0,POR,,,,,,,,,,,,,,,,,,61.0,,,,,,,,,,,,,
63,PT06M34.00S,2023-03-28T02:21:48.5Z,1,REGULAR,freethrow,2 of 2,[],1629680,,,1610612757,10,13,2023-03-28T02:21:48Z,630000,False,,,0,,M. Thybulle Free Throw 2 of 2 (1 PTS),[1629680],1610612757.0,POR,,,,Thybulle,M. Thybulle,,,,,,,,Made,1.0,,,,,,,,,,,,,,,,,
64,PT06M16.00S,2023-03-28T02:22:10.4Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630529,82.47371879106439,49.754901960784316,1610612740,10,15,2023-03-28T02:22:15Z,640000,False,-1.0,112.0,1,right,H. Jones 11' pullup Jump Shot (5 PTS),[1630529],1610612740.0,NOP,pullup,,,Jones,H. Jones,,,,,In The Paint (Non-RA),8-16 Center,11.22,Made,5.0,,,,,,,,,,,,,,,,,
65,PT06M02.00S,2023-03-28T02:22:24.9Z,1,REGULAR,turnover,bad pass,[],1630553,,,1610612757,10,15,2023-03-28T02:22:27Z,650000,False,,,0,,K. Johnson bad pass TURNOVER (1 TO),"[1630553, 203468]",1610612757.0,POR,,,,Johnson,K. Johnson,,,,,Mid-Range,16-24 Right Center,,,,,,,,,,,,,,,,1.0,McCollum,203468.0,,
66,PT06M02.00S,2023-03-28T02:22:24.9Z,1,REGULAR,steal,,[],203468,,,1610612740,10,15,2023-03-28T02:22:26Z,660000,False,,,0,,C. McCollum STEAL (1 STL),[203468],1610612740.0,NOP,,,,McCollum,C. McCollum,,,,,Mid-Range,16-24 Right Center,,,,,,,,,,,,,,,,,,,,
67,PT05M56.00S,2023-03-28T02:22:30.4Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', 'fastbreak']",203468,93.9060446780552,50.98039215686274,1610612740,10,17,2023-03-28T02:22:37Z,670000,False,5.0,5.0,1,right,C. McCollum running Layup (2 PTS),[203468],1610612740.0,NOP,running,,,McCollum,C. McCollum,,,,,Restricted Area,0-8 Center,0.69,Made,2.0,,,,,,,,,,,,,,,,,
68,PT05M35.00S,2023-03-28T02:22:54.5Z,1,REGULAR,violation,kicked ball,[],202685,,,1610612757,10,17,2023-03-28T02:23:04Z,680000,False,,,0,,J. Valanciunas kicked ball VIOLATION,[202685],1610612740.0,NOP,,,,Valanciunas,J. Valanciunas,,,,,,,,,,,,,,,,,1627962.0,,,,,,,,,
69,PT05M35.00S,2023-03-28T02:22:57.6Z,1,REGULAR,substitution,out,[],1629680,,,1610612757,10,17,2023-03-28T02:23:19Z,690000,False,,,0,,SUB out: M. Thybulle,[1629680],1610612757.0,POR,,,,Thybulle,M. Thybulle,,,,,,,,,,,,,,,,,,,,,,,,,,
70,PT05M35.00S,2023-03-28T02:22:57.6Z,1,REGULAR,substitution,out,[],1629642,,,1610612757,10,17,2023-03-28T02:23:19Z,700000,False,,,0,,SUB out: N. Little,[1629642],1610612757.0,POR,,,,Little,N. Little,,,,,,,,,,,,,,,,,,,,,,,,,,
71,PT05M35.00S,2023-03-28T02:22:57.6Z,1,REGULAR,substitution,out,[],203468,,,1610612757,10,17,2023-03-28T02:23:19Z,710000,False,,,0,,SUB out: C. McCollum,[203468],1610612740.0,NOP,,,,McCollum,C. McCollum,,,,,,,,,,,,,,,,,,,,,,,,,,
72,PT05M35.00S,2023-03-28T02:22:57.6Z,1,REGULAR,substitution,in,[],1628995,,,1610612757,10,17,2023-03-28T02:23:19Z,720000,False,,,0,,SUB in: K. Knox II,[1628995],1610612757.0,POR,,,,Knox II,K. Knox II,,,,,,,,,,,,,,,,,,,,,,,,,,
73,PT05M35.00S,2023-03-28T02:22:57.6Z,1,REGULAR,substitution,in,[],1629629,,,1610612757,10,17,2023-03-28T02:23:19Z,730000,False,,,0,,SUB in: C. Reddish,[1629629],1610612757.0,POR,,,,Reddish,C. Reddish,,,,,,,,,,,,,,,,,,,,,,,,,,
74,PT05M35.00S,2023-03-28T02:22:57.6Z,1,REGULAR,substitution,in,[],1630700,,,1610612757,10,17,2023-03-28T02:23:19Z,740000,False,,,0,,SUB in: D. Daniels,[1630700],1610612740.0,NOP,,,,Daniels,D. Daniels,,,,,,,,,,,,,,,,,,,,,,,,,,
75,PT05M28.00S,2023-03-28T02:23:22.1Z,1,REGULAR,3pt,Jump Shot,[],1628995,6.521024967148489,95.09803921568627,1610612757,10,17,2023-03-28T02:23:25Z,750000,False,-225.0,9.0,1,left,MISS K. Knox II 3PT,[1628995],1610612757.0,POR,,,,Knox II,K. Knox II,,,,,Left Corner 3,24+ Left,22.57,Missed,,,,,,,,,,,,,,,,,,
76,PT05M26.00S,2023-03-28T02:23:24.1Z,1,REGULAR,rebound,defensive,[],202685,,,1610612740,10,17,2023-03-28T02:23:25Z,760000,False,,,0,,J. Valanciunas REBOUND (Off:0 Def:5),[202685],1610612740.0,NOP,,,,Valanciunas,J. Valanciunas,,,,,Left Corner 3,24+ Left,,,,,,,75.0,5.0,5.0,0.0,,,,,,,,,,
77,PT05M22.00S,2023-03-28T02:23:27.5Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1630700,94.56307490144546,53.431372549019606,1610612740,10,17,2023-03-28T02:23:31Z,770000,False,17.0,-1.0,1,right,MISS D. Daniels running Layup,[1630700],1610612740.0,NOP,running,,,Daniels,D. Daniels,,,,,Restricted Area,0-8 Center,1.73,Missed,,,,,,,,,,,,,,,,,,
78,PT05M20.00S,2023-03-28T02:23:29.5Z,1,REGULAR,rebound,defensive,[],1631101,,,1610612757,10,17,2023-03-28T02:23:31Z,780000,False,,,0,,S. Sharpe REBOUND (Off:0 Def:2),[1631101],1610612757.0,POR,,,,Sharpe,S. Sharpe,,,,,Restricted Area,0-8 Center,,,,,,,77.0,2.0,2.0,0.0,,,,,,,,,,
79,PT05M16.00S,2023-03-28T02:23:36.0Z,1,REGULAR,turnover,traveling,[],1631101,,,1610612757,10,17,2023-03-28T02:23:44Z,790000,False,,,0,,S. Sharpe traveling TURNOVER (1 TO),[1631101],1610612757.0,POR,,,,Sharpe,S. Sharpe,,,,,Restricted Area,0-8 Center,,,,,,,,,,,2715.0,,,,,1.0,,,,
80,PT05M05.00S,2023-03-28T02:24:01.6Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1630530,81.15965834428384,93.62745098039215,1610612740,10,20,2023-03-28T02:24:06Z,800000,False,218.0,125.0,1,right,T. Murphy III 25' 3PT  (3 PTS) (H. Jones 2 AST),"[1630530, 1630529]",1610612740.0,NOP,,,,Murphy III,T. Murphy III,,,,,Above the Break 3,24+ Right Center,25.12,Made,3.0,H. Jones,1630529.0,2.0,,,,,,,,,,,,,,
82,PT04M41.00S,2023-03-28T02:24:25.6Z,1,REGULAR,3pt,Jump Shot,[],1629629,5.338370565045992,95.83333333333334,1610612757,10,20,2023-03-28T02:24:30Z,820000,False,-229.0,-2.0,1,left,MISS C. Reddish 3PT,[1629629],1610612757.0,POR,,,,Reddish,C. Reddish,,,,,Left Corner 3,24+ Left,22.92,Missed,,,,,,,,,,,,,,,,,,
